faoCode,faoName,scientificName
AXP,Crucifix sea catfish,Arius proops
AXQ,Acanthurus spp,Acanthurus spp
AXR,Aristeus shrimps nei,Aristeus spp
AXS,Miller's damsel,Asterropteryx ensiferus
AXZ,Gymnothorax spp,Gymnothorax spp
AYD,Fangtooth smooth-head,Bathyprion danae
AYE,Apterygocampus epinnulatus,Apterygocampus epinnulatus
AYF,Small toothed jobfish,Aphareus furca
AYG,Slender grouper,Anyperodon leucogrammicus
AYI,Bengal corvina,Daysciaena albida
AYJ,Black-banded demoiselle,Amblypomacentrus breviceps
AYM,Smallscale smooth-head,Bathytroctes microlepis
AYN,Bathylaco nielseni,Bathylaco nielseni
AYR,Papillate clingfish,Acyrtus artius
AYT,Deep-water burrfish,Allomycterus pilatus
AYV,Aphyonus brevidorsalis,Aphyonus brevidorsalis
AYY,Emerald clingfish,Acyrtops beryllinus
AYZ,Austrolycus depressiceps,Austrolycus depressiceps
AZB,Chlopsis olokun,Chlopsis olokun
AZD,Antarcturus oryx,Antarcturus oryx
AZE,Galapagos damsel,Azurina eupalama
AZF,Longfin smooth-head,Conocara macropterum
AZG,Argobuccinum argus,Argobuccinum argus
AZI,Loppe's tadpole fish,Ijimaia loppei
AZJ,Arcturides cornutus,Arcturides cornutus
AZK,Michael Sars smooth-head,Bathytroctes michaelsarsi
AZM,Grenadier smooth-head,Leptoderma macrops
AZP,Banded-fin flounder,Azygopus pinnifasciatus
AZS,Bressou sea catfish,Aspistor quadriscutis
AZT,Artedidraco mirus,Artedidraco mirus
AZU,Loosescale smooth-head,Einara macrolepis
AZV,Atherina lopeziana,Atherina lopeziana
AZX,Aphareus spp,Aphareus spp
AZZ,Indian frogfish,Antennarius indicus
BAA,Bathylagus antarcticus,Bathylagus antarcticus
BAB,Blackfin barracuda,Sphyraena qenie
BAC,Pickhandle barracuda,Sphyraena jello
BAD,Flat toadfish,Austrobatrachus dussumieri
BAF,Flat needlefish,Ablennes hians
BAG,Guinean barracuda,Sphyraena afra
BAH,Bastard halibut,Paralichthys olivaceus
BAI,Batoid fishes nei,Batoidimorpha (Hypotremata)
BAJ,Japanese seabass,Lateolabrax japonicus
BAK,Barbuligobius boehlkei,Barbuligobius boehlkei
BAL,Ballyhoo halfbeak,Hemiramphus brasiliensis
BAM,McCain's skate,Bathyraja maccaini
BAN,Sawtooth barracuda,Sphyraena putnamae
BAO,Longfin batfish,Platax teira
BAP,Peruvian rock seabass,Paralabrax humeralis
BAQ,Yellowtail barracuda,Sphyraena flavicauda
BAR,Barracudas nei,Sphyraena spp
BAS,Combers nei,Serranus spp
BAT,Batfishes,Platax spp
BAU,Australian bonito,Sarda australis
BAX,Bastard halibuts nei,Paralichthys spp
BAY,Bocon toadfish,Amphichthys cryptocentrus
BAZ,"Barracudas, etc. nei",Sphyraenidae
BBD,Western frogfish,Batrachomoeus occidentalis
BBE,Goiter blacksmelt,Bathylagus euryops
BBF,Velvet whalefish,Barbourisia rufa
BBG,Bathylagus gracilis,Bathylagus gracilis
BBH,Blueback shad,Alosa aestivalis
BBL,Hairy toadfish,Batrachoides liberiensis
BBM,Broad-barred king mackerel,Scomberomorus semifasciatus
BBO,Eared blacksmelt,Bathylagus ochotensis
BBP,Slender blacksmelt,Bathylagus pacificus
BBS,Black scorpionfish,Scorpaena porcus
BBX,Two-faced toadfish,Bifax lacinia
BBY,White-ribbed toadfish,Batrichthys albofasciatus
BCF,Bothrocarina microcephala,Bothrocarina microcephala
BCH,Pony toadfish,Chatrabus damaranus
BCP,Humphrey's buccinum,Buccinum humphreysianum
BCV,Bathymicrops brevianalis,Bathymicrops brevianalis
BDC,Freetail brotula,Bidenichthys capensis
BDD,Dow's toadfish,Daector dowi
BDE,Harlequin wrasse,Bodianus eclancheri
BDF,Bigeye frostfish,Benthodesmus macrophthalmus
BDG,Borriqueta porgy,Boridia grossidens
BDH,Bathydraco macrolepis,Bathydraco macrolepis
